sid,text,true_speaker,all_names,is_self_intro,self_intro_name,
564230,"Thank you Mr. Chair, thank you members.",Jim Wood,,0,,
398464,"Thank you. Thank you Mr. Chair, Ryan Woolsey with the LAO. Your agenda was two questions for us to address so I'll just provide some brief responses to those. First, a brief history of the Fingerprint Imaging System in CalWORKS. Budget legislation related to the 1995-96 budget required the administration to design, implement and maintain a statewide fingerprint imaging system to be used in a predecessor program of CalWORKS to defend dependent families with children, and in the food stamp program now known as CalFresh. And the system was subsequently rolled out in all counties in March of 2000. In 2003 the Bureau State Audits released a report with several conclusions. The first of which is that the state fingerprint imaging system was implemented without determining the extent of duplicate aid in the programs. Which made it unclear whether the cost of developing and maintaining the system was justified by the savings that were achieved. And I'll note that currently, the state fingerprint imaging system detects a relatively small amount of duplicate aid today, the savings of which related to which is far less than the ongoing operating cost of the system. Where there's not as much clarity is, how much duplicate aid is prevented which potentially could result if the system were removed. This audit was followed up by subsequent audits in 2009 and 2015 in which the Auditor suggested that the Legislature Consider whether to continue the fingerprint imaging system by looking at whether the system is justified by the avoided duplicate aid. But also by considering other issues related to potential stigma for Applicants that are asked to go through the fingerprint imaging process. Finally, in 2011 the Legislature enacted language that ended the use of the fingerprint imaging system for the CalFresh program. So today it is usediIn the CalWORKS program and it also is used by counties and in some cases their general assistance programs. The second question asks what is the current system of verifying the identity of CalWORKS applicants. CalWORKS applicants are generally required to provide a Social Security number when they apply or proof that they are applying for a Social Security number within 30 days of application. Applicants must also provide proof of their identity using several allowable documents, which include but are not limited to things like a driver's license or state ID card, or another for of photo ID or example from a school. Passports are also allowed, immigration documents can be used as well. This information is collected and then is verified against certain federal data sources through what's known as the Eaves system. Key data systems that are used to verify identity information include the Social Security Adminstration which looks at the name, date of birth, and Social Security number. And then also, against Immigration Services databases for, checking for lawful status. That's the information I have in respect to the questions. I'm happy to try to answer any other questions you may have.",Ryan Woolsey,Ryan Woolsey,1,Ryan Woolsey,
627345,"Good morning Madam Chair and Committee Members, I'm Judy Taschner form the San Diego District Attorney's office. As prosecutors in the sex crimes and human trafficking unit, we see first hand the devastation and destruction brought on by life in the world of pimping, pandering and human trafficking. Vulnerable victims are sold the dream of love and a better life by their pimps. Yet they experience the opposite. The dynamics of this are very similar to domestic violence. And victims end up trapped with few other options. The viability of getting out of this life and have a brighter future, it can depend on the ability to break free of the power, control, and manipulation of the pimp. AB 1735 is a simple tool that can be given to our criminal justice system to help these victims, and to give them the space, the freedom, and security in order to break out of the life. And who are these other victims, who are these victims that are trafficked for non-sexual purposes? This bill applies to labor trafficking victims. These victims are mostly immigrants working in the U.S on temporary visas. They work in agriculture, hospitality, construction and the restaurant business. They've experienced some type of force, fraud, coercion, which can include document fraud, withholding of their documents, extortion, abuse, discrimination, psychological manipulation, violence and threats, against themselves and their family members. There are high rates of civil labor exploitation, where the employer and the trafficker controls their housing, their food, their transportation, and their immigration status.  Many of these foreign workers are lured by false promises of good jobs and benefits, and these traffickers often can be related to friends, family, and their community members. These are the vulnerable victims that we're seeking to simply have included in this optional restraining order, post-conviction, to give judges the option of protecting them for up to 10 years, which is available to other victims, as well. Thank you.",Judy Taschner,Judy Taschner,1,Judy Taschner,
570691,"There never, exactly. And so there comes a point just a matter of policy, we have to say there is defacto discrimination going on. And that's what we have in the boardroom, we have defacto discrimination. We have tried, we tried with the registry in the 80s, we tried with a gentle urging.  I'm not sure if you were in the room how I talked about in 2013 I did a resolution here in the Senate urging California's top corporations, publicly traded, that have their primary headquarters in California. Urging them to add more women to their boards of directors. They basically told us to go pound sand because we looked three, four years later, the ticker had gone up maybe 1% to 15%. In fact, California has a lower percentage of women according to the-",Hannah-Beth Jackson,,0,,
464502,"Yes, Ms. Baker, the County Board of Supervisors is responsible for these programs. I am unaware of any specific request for the county to undertake an investigation. I have not seen any letters, perhaps there are. But I have not seen any letters nor have been informed by the county that is the case. Conversations with the Health and Human Services Agency have resulted in our putting forward how we are managing this population, with a combination of public health nurses, and case workers, and various others. So we have, in fact, illustrated how we do think we are responding to the needs of the populations referenced in Mr. Heuso's letter. But I am not aware that anything has been brought forward directly to the Board of Supervisors requesting some specific action. I'm just not aware of that.",James Gross,Baker | Heuso,0,,
340724,"Court can release on bail. Can raise the bail, like they can do now. The court can keep you in jail. The idea is what we are trying to get to here this, Senator Mitchell I think made the point clear that I am, but you've got poor people sitting in jail. One of the people that testified said that the current bail system is effective in keeping poor people in jail. What we're really trying to get to is the injustice. What was mentioned, with respect to the opposition, at the time of 12% of the people in Los Angeles, who they estimate can't afford bail. Okay, what if that's your brother or your sister or your kid, or your aunt or your uncle? Justice is not about the size of your wallet. So we're not taking the judicial branch and the power of government. What we're trying to do is to focus in that narrow area. And I personally think that there is opportunities to work with the bail people. because these people who are in jail don't have the money. They're not customers, right, so we're trying to deal with that. There's not any effort, I'll certainly let the other witnesses and my co-author address that. But that's what we're really trying to get to. And so the reason we kept your measures in with respect to 646 and 12 70 from 1999, is because we thought you were right. And you were trying to set a higher standard to make sure that you had to set eyes on these things. That people weren't just released because these violations, you didn't have this repeat situations. And we thought that it was a good thing. That's why we did it and keep it in. So, there is a lot of work that went in this thing. And thinking through the nuances of how to put these together. As you saw the number of cosponsors, the number of people involved in this discussion. It is a complicate issue. But we are informed by Kentucky. We are informed by the District of Columbia. We are informed by the federal government in terms of being in much greater distance ahead of where we were before. The reference was made about Ronald Reagan and Newt Gingrich sitting down. Well back then, there was no Google, there was none of this technology. Nobody had smart phones, people didn't get texts. There were all sorts of things that are available now. What we're trying to do, is to take in consideration the new data, the new evidence, the new tools. And to modernized the system to make sure that justice is not based upon the size of your wallet. And yet still to be sensitive to the issue to issue respect. I don't know if you were here in my opening, but I said, the bill says that public safety and the safety of victims. The people from Crime Victims United were here talking about our priorities here. We're not trying to do anything to make society is less safe. We think we're making it safer. We think we're making more rooms in jails instead of people who are being convicted and sentenced to jail. And immediately being released as there's no jail space cause it's being held by some fella who doesn't have $680 to pay the bail. That's what we're trying to get to.",Robert Hertzberg,Mitchell | Ronald Reagan | Newt Gingrich,0,,
663128,"This hearing of the Senate Committee on Public Employment and Retirement. And I want to welcome everyone here. We have three items on the agenda. And so we will go ahead start a Subcommittee until we have a quorum. But before we begin, I do want to just make mention of our sympathies for the passing of CHP Officer Kirk Griess, who we also just adjourned in memory in our Senate chambers.  Last Friday morning, Officer Griess was killed while performing a normal traffic stop on an SUV on Interstate 80 near Fairfield when another vehicle veered into his location and collided with Officer Griess in the first vehicle. Both Officer Griess and the SUV driver were transported to the hospital, but tragically pronounced deceased. Officer Griess was 46 years old, was a US Marine veteran, and 19-year veteran of the California Highway Patrol. And he had worked at the Fairfield CHP Office for 16 of those years, and was a Vacaville resident. He is survived by his wife and three children. This tragic event once again underscores our first responders. Our first responders put themselves in harm's way every day to keep us safe. And that's why we do the work we do in this Committee, to safeguard the benefits for public safety officers and their survivors, and why this is so important. And so on behalf of the Public Employment Retirement Committee of the Senate, our hearts go out to the Griess family and the entire CHP community.  So with that, I would invite Senator Moorlach to come and present. I presume you want to present them in numerical order? So begin with Item Number 1, is SCA 8. Thank you, Senator Moorlach.",Richard Pan,Kirk Griess | Moorlach,0,,
353212,"Aaron Binecher, I'm from Sacramento, and I oppose this bill.",Aaron Binecher,Aaron Binecher,1,Aaron Binecher,
552746,"Certainly, but then allow me to- Well, I still- I'm sorry, apologies",Nancy Skinner,,0,,
605094,"Good morning, Mr. Chair and members, Christina Dicaro representing the California Chronic Care Coalition.",Christina Dicaro,Christina Dicaro,1,Christina Dicaro,
350419,"Good afternoon, thank you for having me today. I'd like to begin by thanking this Committee, and also the Legislature. You have been instrumental in providing millions of dollars to Fresno County. Right now the county is spending, and we have many different projects. Removing dead trees along roadways, along public areas within Fresno County. Just to make sure that we have adequate ingress and egress, if we do have a catastrophic event, a fire up in eastern Fresno County. Regularly, I'm receiving requests from individuals who own private property, they're low income or maybe middle income, they live on properties. And we just don't have any resources to allocate to individuals who live on their own property up in the rural parts of Fresno County. This bill would provide some flexibility and an opportunity for low income and moderate income individuals to access funds to cut down trees. In some cases, depending on terrain and the size of the tree that has died, it could cost upwards of $2,000 per tree. Many individuals have, it's common to have 60 trees that are dead around their home that need to be removed. And so you can just see the size and scope of cost to remove these trees. And a lot of families just don't have those kinds of resources. I'm here to answer any questions you may have and would appreciate and aye vote on this bill.",Nathan Magsig,,0,,
594088,"I can go first. Good afternoon, my name is Jesse Graywall and I'm a policy researcher and legislative aid for United Food and Commercial Workers Western States Council. So UFCW has played an integral role in the development of medicinal and recreational cannabis legislation and policies, and was the first union to come out and support Proposition 64. UFCW has had the privilege of representing cannabis workers since 2010,  and continues to organize workers from seed to sale in the cannabis industry. From the start of our organizing campaign, Cannabis Workers Rising, we have felt strongly about ensuring equity and inclusion in the cannabis industry. Supporting social equity at the state level looks quite different than many of the conversations occurring at the city level. However, the state does have significant resources at its disposal to support entrepreneurs, workers, and communities affected by the war on drugs, which is the intent and focus of social equity. Community based organizations should be prioritized in all aspects of social equity work given their reach and affected areas. UFCW looks a social equity efforts and four overarching buckets. Supporting business ownership, supporting workers, supporting broader community and reinvestment, and halting future criminalization and prioritizing restorative justice. We laud the work that Senator Bradford and his office are doing through SB 1294 to support social equity work in these four buckets.  To be respectful of time, I will focus on two buckets. The first is supporting business ownership in affected communities through providing access to reduced interest and interest-free loans and grants. Providing reduced or waived licensing fees. Providing technical assistance to state and local equity applicants and assistance in securing business locations. And allowing for sharing of common spaces by licensees. To elaborate more on the importance of this point, we are noticing at the ground level that retail space and area zone for cannabis businesses are skyrocketing in price, and is becoming a significant barrier for who would be equity applicants to start a cannabis business. The second bucket I would like to focus on is supporting workers in affected communities. Through workforce development programs that link affected communities to training, apprenticeship and placement in the industry, funding the division of labor standards and enforcement in Calosa to protect workers, resource community colleges to create training and apprenticeship curricula specific to the cannabis industry. And incentivizing hiring from affected communities and transitional workers, including post relief services, such as job placement, and wraparound services to ensure the workers' success. The other two buckets that I won't go into are broader community reinvestment and affected communities, and halting future criminalization and prioritizing restorative justice. It's through the lens of these four buckets that UFCW believes that the state must engage the cannabis industry sooner rather than later, to ensure that California's cannabis industry is equitable and inclusive. Especially so those who are ravaged by the war on drugs are able to partake in the cannabis industry's success. Thank you.",Jesse Graywall,Jesse Graywall,1,Jesse Graywall,
415867,"Thank you, Mr. Chair. I want to join our colleague, the Chair of our sub-committee number three on resources and transportation in expressing our concerns about the lack of investment in housing. And let me also start by thanking this Budget Committee, and our Chair, and the work of all of us here on this. As our colleague from Santa Monica just alluded to, the fact of the matter is we had prioritized $400 million as a new and additional investment in housing. That was something that was prioritized by this Budget Committee, by our Speaker, by the Assembly, that was not included in the conference Committee process in the midst of the worst housing crisis in the history of our state in recent times. Now, I think we can all talk about a number of reasons why we're in this crisis. And let it be known that we have plenty of bills moving forward to focus on how we streamline housing creation, how we hold jurisdictions more accountable to building housing, how we tackle different aspects of the housing crisis. But one major reason why we are where we are is that at the beginning of the great recession, we were forced to cut close to $2 billion a year of money that we used to invest in housing with the demise of redevelopment agencies and the drying up of housing bond monies. And that is a reason why at this moment we have the highest poverty rate in the country, when you include housing cost. Why we have 1.7 million California families that lack access to affordable housing. And the idea that we weren't able to find $400 million to start making a down payment on addressing this crisis was extremely disappointing. And I think for all of us who serve in different subcommittees, we know that lack of housing is exacerbating not just the impact of, but the cost of how our state addresses poverty, how our state has to address transportation, how our state is not addressing how we build a 21st century economy. How we ensure the protection of the environment, how we ensure the protection of the health and safety of our residents. By not making a small investment in housing, we are exaserbating many, many more costs in all these other areas. So we will certainly be continuing this conversation. But I have to say, this aspect of the budget is one that's been extremely disappointing, and I also want to be on the record on that.",David Chiu,,0,,
500189,"Thank you Madam Speaker. As Chair of the Legislative Black Caucus said, it is a privilege we just had an opportunity to hear a great deal of the background on Frederick Roberts but it's our pleasure that we are able to recognize members of his family here today. The grandchildren of his own, his brother William Roberts Descendants of his family and with the help of the minority floor leader and the Freedmen Bureau we were able to make connections to the family and they are here with us today. And as part of the Robert's lineage they too are descendants of Sally Hemings and President Thomas Jefferson, the Author of the declaration of Independence. Robert's descendants are here on the floor with us and we'd like to recognize them now. Allen Wales Haddinett great niece of Frederick Roberts, Robin Johanna Roberts great niece of Frederick Roberts, and Karen Willard great, great niece of Frederick Roberts. Please join me in welcoming the descendents of Frederick Roberts.",Chris Holden,Frederick Roberts | William Roberts | Sally Hemings | Thomas Jefferson | Allen Wales Haddinett | Robin Johanna Roberts | Karen Willard,0,,
327380,Wood? Here. Maienschein? Bonta? Burke? Gallagher? Here. Limon? Here. Mccarty? Nazarian? Present. Patterson? Here. Quirk-Silva? Here. Chiu? Here. Rodriguez? Here. Santiago? Here. Thurmond? Waldron? Here.,Committee Secretary,Wood | Maienschein | Bonta | Burke | Gallagher | Limon | Mccarty | Nazarian | Patterson | Quirk-Silva | Chiu | Rodriguez | Santiago | Thurmond | Waldron,0,,
377808,"Madam Chair and Members, Quick on the draw. Louie Brown on behalf of the California Association of Nurseries and Garden Centers, the California Strawberry Commission, and a few others listed in your analysis in support of the bill. And thanks to the author.",Louie Brown,Louie Brown,1,Louie Brown,
556278,"Yeah, so for example, this is a perfect example, your comments are well taken. I don't disagree with a single thing you just said. You're absolutely right.",Benjamin Allen,,0,,
506237,"Chair and members, Jonathan Feldman, California Police Chiefs Association, in support.",Jonathan Feldman,Jonathan Feldman,1,Jonathan Feldman,
552888,"Thank you, good morning. I want to thank the chair and the Committee for taking up the time on this important bill. Just by way of background, I've been a deputy DA for over 10 years. I've been assigned to the human trafficking unit and helped start the unit when it began about five years ago, and we've now grown to five felony prosecutors. We've handled literally hundreds of cases related to human trafficking, pimping and pandering. And I only put forth my background so that you understand where I'm coming from with this statement in support. The objective behind 1204 is not to change or make substantive changes to the law. It's to utilize existing language in the six theories and also the case law that goes back over a hundred years on the pandering statute by using the language of the case law and the statute. We're making clear that, that the law that applies today will continue to apply with this new simpler version of 266i. The current statute is a good statute, but the problem is it's unwieldy to work with because it's got six different theories. We have to either allege a specific theory of liability or at the time of trial, we have to elect one of the six theories or multiple theories of liability, which makes it confusing for juries, confusing for courts, confusing for prosecutors, and confusing for the defense. And so by placing everything in to one simple to understand statute, it makes it easier to charge, and easier for everybody to be on notice of and to understand. This again is designed to fix the unwieldy nature of it but not just to plant the current law.  We've utilized language from cases like people of Zambia, from the Supreme Court of the State of California in 2011. Cases like Montgomery from back in, I believe 1946 or 1947, and others. Some of the oppositions suggest that this statute if passed would criminalized a young person or a person who's a victim of human trafficking from simply persuading somebody else into the life.  Current law requires and the statute that's a been proposed, requires that anybody who is engaging in the conduct. The active persuasion or the active encouragement has to maintain a specific intent to make that other person be or become a prostitute, this statute doesn't change that. So giving condoms out doesn't actually subject somebody to liability for pandering,  because they would still have to harbor some intent and do something to actively aid or encourage or facilitate it. This does not criminalize an adult sex worker in the matter that I just described. I want to point out that I believe this Committee and this Legislature and the Governor has been very supportive of anti human trafficking measures, and, and I want to thank the Committee for that and the Legislature for that  and the way that they have done so is by making funds available for victim services for pushing the development of vertical prosecution units. By engaging in public awareness campaigns, by providing adequate resources and training for law enforcement, and creating expanded mandating reporter laws and educating educators about human trafficking.  But the Legislature should not give support to the idea that prostituting is a viable way to get out of being prostituted, and I think that was the tenor of some of the opposition to this bill, is assisting somebody to perform acts of prostitution safely would somehow criminalize their activity in a felonious way, and this bill does not do that. I'd also note that there may be some concern that this could be applied to sex purchasers. That if somebody goes out for himself to purchase sex from an individual that they could be liable for pandering, again that's not the current State of the law and that's not the intent behind the statute. There are cases are go back to 1874 in people V Rodriguez that talk about pandering being a felonious conduct only, if you're doing it for a third party. And by using the existing language of the statute and the case law, I think this bill makes it clear that we're not trying to change that, that 1204 doesn't seek to change that, and so the law would be adequate and would not be applied to make a misdemeanor conduct of purchasing sex automatically become felonious conduct. Again, I want to thank the Committee for its time and consideration of this bill, and I'd be happy to take any questions.",Daniel Baron,Montgomery | Rodriguez,0,,
346312,"Yes. Thank you for bringing this bill. My hairdresser of 15 years is a shop owner. Every time I go to have my hair cut, I am anxious that I'm going to end up looking like our Chair. Maybe someone argue that would be a good thing, I'm not saying it wouldn't. But I do know that, and I was on this Committee when we pass 1513. I don't think it was ever intended to apply to beauty salons. It was intended to apply to farm workers and I think truckers. Those were to two, those were the groups that came in, articulated the reason for the bill. Made sense, I voted for it. Suddenly, my hair dresser's telling me that he is basically this model that he and many of the other hair dressers in my community have been using for decades is going to require that they have to reimburse their workers, even though all of them have been very happy. They've got a good arrangement. He also trains people, so before they become stylists, he's anxious to try to help young people step up. But if he has to pay someone $30 an hour who is a trainee, he said, I'm not going to do it anymore. So this is example. And there are many other things, and I guess the bottom line for me is, this model has worked I think successfully and effectively for people within that business. Both the employer and employee for many years and this I think inadvertence has just really throwing a curve ball to this whole industry. So I am very happy for many reasons, including I'm supposed to get a haircut tomorrow. So if we get home in time, they might even make me look, or get rid of the grey here. I don't know. But I do think that this was one situation where the resolve was absolutely not intended by anybody. And I would ask the Chair to also consider, I think the concern about the $30 an hour for downtime. Takes away that ability of the stylist and the owner to negotiate what the percentage will be for their employees. And so, with that I will support this bill with the understanding that you'll continue in those discussions.",Hannah-Beth Jackson,,0,,
493518,"Thank you. Thank you, it's good to see you. This may get a little community oriented but I haven't served at the local level. I've always, I get a lot of comments from applicants, whether they are applying to get a license, a new one or to change a license.  Can I, I'm just curious in the time that you've been there, what you've noticed as it relates to the standard time for processing a case from a date of an appeal, that it is received is about nine months and during that time, the licensee can continue to operate. What about a new license? If a new license is denied, that's a new business. What's the timeline? Do you know? And I can also call the-",Toni Atkins,,0,,
678455,"Thank you, Senator De Leon. And we will conclude now with President Pro Tem. I'm sorry, Senator Gaines, you wish to say a few words.",Hannah-Beth Jackson,De Leon | Gaines,0,,
420160,"Chair and members, Jedd Hampton, representing Leading Edge California. We represent over 400 not for profit providers, the senior affordable housing, assisted living and skilled nursing care throughout California. As of the May 26 amendment that were taken in the Senate, we removed our opposition to this bill, and we were neutral on this bill prior to this being heard in this Committee. Just wanted to echo that and again thank the Senator for meeting with us and his staff several times. I really appreciate working with you, and thank you again.",Jedd Hampton,Jedd Hampton,1,Jedd Hampton,
543745,"Thank you Mr. President. This Legislature has for many years, grappled with the very difficult challenge of mental health in incarceration, whether in state institutions or county institutions. It has been an extraordinary challenge. In Los Angeles County I believe it's the largest mental health facility in the country and that is the county jail. A big problem. And so, as we grapple with this, we continue to drill in to try to understand and to make it better. We know that the cost of providing service on the average is about $22,000 for somebody for mental health services and over $70,000 to incarcerate them. The District Attorney of Los Angeles came to me and uncovered another challenge with respect to the law and what we're doing here in SB 931 is correcting it. Basically under Lanterman Act, if you want to do a conservator-ship, if someone is safe, you get pushed to the bottom of the line. Being put in jail is considered safe. So what's happening is this odd framework. It's odd circumstances happening where well someone's in a safe condition and so as a result, they're not being treated. They're not being included into a conservator-ship. And so what we do is to just basically remove the idea of safety as a factor so that incarceration does not impede someone's attempts for treatment and conservator-ship. I ask for your support of this measure.",Robert Hertzberg,,0,,
376873,"Yes, and following along with this example that Senator Roth started, and you started to explain between the tenant various facilities. Could there be, and this may be a question for the proponents, could there be a situation where one facility actually, in some respects, subsidizes another facility and you could be putting that facility at risk? Of closing if you can't have the contracts, unless I'm not understanding the broader nature of this. Is there an issue that could disadvantage one facility in a multi facility system? And this is complicated and I'm sorry, I've been paying very close attention.",Toni Atkins,Roth,0,,
541092,"Yes, yes I am and let me begin by thanking this Committee for it's characteristically thoughtful analysis and by agreeing to the suggested amendment in comment three that the water replenishment district of Southern California be required to submit an independent audited financial statement annually to the Governor and appropriate committees of the Legislature including the Senate Governance and Finance Committee.",Benjamin Allen,,0,,
351848,"Yes, Brett Johnson, senior Director of policy and advocacy with the California Life Sciences Association. Not sure I can top that. So we're the life sciences sector composed at Biotech, medical devices, research institutions. And we're responsible for a great deal of the advancements by American Biotech. A lot of those advancements are coming right out of California laboratories. In just talking about our industry in terms of employment. We have direct employment of roughly 287,000 direct jobs and then we have another 597,000 that are indirect or induced jobs. So about a total of shy of 900,000 direct and indirect jobs. That we're responsible for. And thinking about California, a number of the top industries here in California are very STEM career heavy. You have electronics manufacturing, software, computers, aerospace, you name it. So California's a very high demand for STEM educated workers state. So of course for our industry, just talking a little bit about what we go through. It's very difficult to attract individuals with STEM backgrounds from outside of the state into California. For a lot of the reasons you heard on previous bills, it's a high cost of living here. So a lot of the tech sectors here in California rely heavily on our own homegrown STEM educated individuals. And just looking at that competition that we have within the state with other industries, it's really hard to get enough STEM educated individuals to meet the demand. Which looking forward is anticipated to be about twice that for STEM as non-STEM.",Brett Johnson,Brett Johnson,1,Brett Johnson,
621090,"Thank you Madam Chair. One quick comment, I was not on the Subcommittee process so I did not have a chance to look at the item. I do appreciate the focus on upgrading the pure cannabis control CDTFA and Department of Public Health. But I did want to just raise this ongoing need for enforcement in those matters. And I think this was an item discussed in the budget sub Committee so pardon the request for refresher. But is that no longer in this budget now, the enforcement piece?",Henry Stern,,0,,
690196,"I want to thank you. And just before we go on to Mitch, I think that the and I think all of us who have experienced these fires, agree that the that the mutual aid programs, the coordination that the agencies have all demonstrate together has been extraordinary. I think without question, we have the finest emergency systems in place of anyone in the country, and thank you for that. And I also want to mention when you talk about prepositioning, I know that for the debris flows which occurred here, and which could occur, shall we start getting some significant rains throughout the state. Where those fires have completely destroyed all vegetation and created that instability in the hillsides, the night off their debris flow, I'm told over 900 people were saved because of pre positioning that you had done in anticipation of that happening. So the public, I think, should certainly feel reassured that the best that can be done is being done in terms of these kinds of lifesaving efforts by our first responders. And I think we all share in our appreciation for that. And of course going forward, there is much more that we need to do as these events become more and more dramatic.   You did mention something, it's not really on the agenda for today. That I think we're all concerned about is the impacts that these events are having on our first responders. Whether it's their mental health, we know we're seeing extraordinary and unusual number of First responders having serious mental health issues. Leading in some instances to suicide, also the fact that there's no recovery time or training time for this new abnormal that we're having to deal with. So I hope that we will take that into account. But the costs just the monetary cost, the cost to our children and the lack of opportunity to continue their education. Businesses that are losing their businesses, homes, people losing their homes, their valuables, their sense of hope. And security, I think, are all things that is we are going forward, we're gonna have to recognize and try to address, but certainly the work that's been done. And I'm sure with all these fires, the fact that the Woolsey fire, we did have three fatalities. But when you look at the extent of that, damage, as many of us have, I just driving up the 101 yesterday, seeing it in Calabasas and gore and jumped eight lanes of freeway and just, I know in Malibu similar things. The fact that there were three deaths is tragic. There could have been so many more, and while we mourn every one of those people, we have to recognize that the work that's being done has been extraordinary. So I wanted to at least share my observation on that, and thank you all for that. Next, we are now going to focus in on the emergency notification issue. And thank you a moment for your reports, and your great work. Mitch Medigovich, I'm going to get it yet Mitch. Who is the Deputy Director of logistics management with the Governor's Office of Emergency Services, will give us an overview of the recent changes to state law governing emergency notification. Thank you, Mitch.",Hannah-Beth Jackson,Mitch Medigovich,0,,
551884,"Yes, Mr. Chair.",Kansen Chu,,0,,
661176,"Thank you, thank you, Mr. Chair.",John Moorlach,,0,,
484892,"So because I'm fairly inexperienced with all of this stuff, being of the older generation, when you say the aggregate of this information, how is that information available in this aggregate form?",Hannah-Beth Jackson,,0,,
476841,Niccolo De Luca here on behalf of the Oakland mayor in support and Moxie Extracts in support. Thank you.,Niccolo De Luca,Niccolo De Luca,1,Niccolo De Luca,
653844,"I won't even take three minutes.- Sorry.- Good afternoon Chair Stone and Members of the Committee. As Senator Weiner said I'm Rafael Mandelman, I am a newly elected member of the San Francisco Board of Supervisors. And I'm here to express my strong support for SB 1045 and to thank Senator Weiner for taking on a difficult but very important bill. Over the last year of campaigning, talking to folks throughout my district, I've talked to a lot of people and no issue is more frustrating for my constituents and no public policy failure is more obvious, painful, and embarrassing to our city than our inability to provide care to so many obviously sick people on our streets and in our public spaces. For me it's personal, my mother suffered from mental illness much of her life and spent time in a homeless shelter when I was young. I know from personal experience that there are people who are unable to care for themselves. And it is unreasonable to expect those people to voluntarily access services and yet that is precisely what we do. As a law student I work to get institutionalized patients into the least restrictive living environment, but the least restrictive living environment cannot be a sidewalk. Too many of our neighbors live on a relentless and costly merry go round that carries them from the streets to the hospital, back to the streets, to jail, and around and around and around. And it is inhumane, it is expensive and it has to stop. San Francisco did not create this problem, but we are doing our best to solve it. Please give us this desperately needed tool to move the very sickest and most expensive folks off the streets and into care. Thank you.",Rafael Mandelman,Stone | Weiner | Rafael Mandelman,1,Rafael Mandelman,
637487,"It's been moved by Senator Portantino. The motion is, let me put this around here.",Richard Pan,Portantino,0,,
557062,"Madam Chair, Matt Ryan representing the Orange County Employees Association in support. Thank you.",Unidentified Speaker,Matt Ryan,1,Matt Ryan,
323987,"Sorry, members, this is file item 13, SCR 26, Senator Mendoza. Mr. Secretary, please read.",Connie Leyva,Mendoza,0,,
655313,"Mr. Chair and Members of the Committee, for the record, Dan Reid with National Rifle Association, here in opposition to AB 3. Asides from the obvious policy concerns, this bill's going to increase costs in itigation. This is something that has been tried in courts across the US, as well as it's going to have a significant impact on California's wildlife. By prohibiting the ability to purchase firearms and ammunition for 18 to 20-year olds, you're alienating a group of hunters. These are thousands and thousands of hunters here in California. And if you can't buy a firearm or you can't purchase the ammunition necessary, it's going to impact them. And they're probably not going to be as likely to go out and get a hunting license, which is critical to California's wildlife. Also, you could be encouraging straw purchases. If someone's coming in to hunt from out of state, they're not 21 years old, how are they going to get the necessary ammunition to participate in California? Because you can't bring it in from out of state, so what are we doing there? As far as the wildlife, Pittman-Robertson dollars are, it's an 11% excise tax on firearms and ammunition, no matter what the use of it. And those dollars are then distributed based on hunting licence sales, so if we're going to have less hunters and less people buying firearms and ammunition, these projects go directly to benefit California's wildlife, and with that we're in opposition. Thank you.",Daniel Reid,Dan Reid,1,Dan Reid,(nickname)
395579,"Madam Chair, thank you. So the second proposal is a Spring Finance Letter Merivision proposal. Where we're looking to redirect 15 million of general fund within our existing budget to the Bureau of Forensic Services to offset a dramatic decline in DNA ID revenues over the last couple of years. So our DNA ID fund has a similar issue related to the State Penalty fund, in that the fines come from criminal convictions. And those fines have been dropping rather significantly over the last couple of years. What we're proposing to do is to reallocate 10 million from our Justice Information Services division to BFS. $5 million from our Bureau of Medi-Cal Fraud program to BFS. And in back for those redirections with fingerprint fee funds and CJIS. And false claim acts settlement proceeds in BMFEA to continue and hold the existing programs harmless.",Dave Harper,,0,,
346851,"I believe that I need to work with everyone. I used to work for a rich, white Republican mayor who gave millions of dollars in computers to Los Angeles City Schools. I would not want to prevent Dickerin from ever giving computers, who is also someone that supports charters. If someone has land that they want to give, not just for a dollar year but for free, we need to work out some language to protect them. Because we should not stop anyone whether you want to give it to charter school or to public school, we should work very hard to ensure that. Some of these can be easily done by maybe even just creating a corporate board that is not involved in the day to day. So those are the kind of discussions we need to have about how we can get beyond this, this 1090, or even the 1091. Which kind of allows that a sibling or someone can go ahead in the official capacity work, but let their other business work. But I don't want to give Donald Trump and his family an opportunity to do what they're doing right now, so I don't want to discuss that. I'm want to stay with 1090, which is how we ensure that individuals who do not follow the proper protocol or financially benefit from this, how do we make sure that doesn't happen? The things that happen with Solarity If this bill, as Mr. Gloria had been enacted, it probably wouldn't have happened. That's why we needed to get this done sooner than later.",Reginald Byron Jones-Sawyer,Dickerin | Donald Trump | Gloria,0,,
629115,Kelly Brooks on behalf of the County Health Executives Association of California and the County Welfare Directors Association here in support.,Kelly Brooks-Lindsey,Kelly Brooks,1,Kelly Brooks,
